indicator_type,indicator_content,domain_name 
cert-domain,www.odnarodyna.org,odnarodyna.org
cert-domain, odnarodyna.org,odnarodyna.org
cdn-domain,informer.yandex.ru,odnarodyna.org
cdn-domain,mc.yandex.ru,odnarodyna.org
cdn-domain,,odnarodyna.org
cdn-domain,top-fwz1.mail.ru,odnarodyna.org
domain_suffix,odnarodyna.org,odnarodyna.org
domain,odnarodyna,odnarodyna.org
css-class,"{'header-search-close', 'tags-content', 'most-popular-switchers', 'js-view-dom-id-feb4325d1e7746cdaeb848e7e7c1ccf105823b76db750f316ac91d76c08ed4f6', 'pager', 'js-view-dom-id-139227e06496820c2b8de577f6af30ef3f02d139d198aba892e508dbcdafc4ed', 'view-display-id-block_tagadelic_tags', 'view-mode', 'main-slider-info', 'header-center', 'nav', 'view-redactor-choice', 'set-mp-pos', 'header-bottom-menu', 'field--name-title', 'page-node-view', 'main-slider-tags', 'view-display-id-block_redactor', 'view-article', 'slider-bottom', 'view-display-id-block_vasilii', 'front-redactor-slider', 'js-view-dom-id-14cbf682b23615647684a56f2e4c6d84a418b649540110913d0ba212f0f66a9a', 'block-views-blockarticle-block-front-bottom', 'wid', 'header-top-menu', 'article-most-popular-date', 'node--type-video', 'logo_footer', 'footer-socials', 'node--view-mode-slider', 'js-pager__items', 'article-most-popular-block', 'slider-button', 'article-teaser', 'slider-hr', 'article-tags', 'js-view-dom-id-decc1512e0ca8a98a2834215b84d1c533be2c87c88306792da6b6aed7e48ab57', 'node--view-mode-token', 'field-content', 'active', 'contents', 'block-views-blockarticle-block-front-middle', 'title-link-all', 'nav-inline', 'calendar-days', 'view-display-id-block_kiev_writings', 'is-active', 'sidebar', 'block-menu', 'pager__heading', 'navigation', 'btn-tags', 'level4', 'fas', 'hide-close', 'fa-th-list', 'field', 'fa-bars', 'fa-eye', 'hidden', 'view-display-id-block_month', 'most-popular-active', 'footer-links', 'view-display-id-block_redactor_choice', 'header-main', 'sidebar-pager-ul', 'more-content-link', 'pager__item', 'node--promoted', 'date', 'view-display-id-block_shortly_main', 'calendar-heading', 'fa-arrow-right', 'tagline', 'js-view-dom-id-b8a1058065c956a3463e47e4b0846ffa248d57556f66878860feb21a4ebd1008', 'block-views-blockarticle-block-vasilii', 'menu-button', 'fa-vk', 'header', 'article-teaser-info', 'js-view-dom-id-8027bd3805f314fdb39ae2caf668fc10169842954b8dddd1cf625a91b89a20ee', 'tag-cloud', 'block-archive-calendar', 'next-button', 'clearfix', 'slider-left-hr', 'block-views-blockarticle-block-redactor', 'slider-all-link', 'view-id-video', 'fa-chevron-left', 'menu-categories-item', 'prev-button', 'visually-hidden', 'block-block-content', 'article-teaser-submitted', 'fa-sync', 'block-block-content3da4c386-bb95-4536-b806-078a63c9a267', 'article-sidebar-block', 'views-field-name', 'dialog-off-canvas-main-canvas', 'article-col', 'region-menu-main', 'fa-search', 'page-content', 'most-popular-hide', 'js-view-dom-id-322eb0e0008264e119248d2386301c4d7a47dcb7f61a9fe9e3e0c81d4663941e', 'menu-categories', 'view-mode-item', 'token-date', 'today', 'views-infinite-scroll-content-wrapper', 'sidebar-pager', 'field__items', 'main-slider-img', 'region-title', 'slider-h2', 'region', 'article-sidebar-row', 'main-slider-button-group', 'level2', 'menu', 'main-slider-h2', 'js-view-dom-id-5965c8894c336c0560c4b0341adfd629eaad25bc4bdd6bd756744928c138b329', 'page-title', 'header-right', 'view-display-id-block_week', 'view-id-redactor_choice', 'views-row', 'field__item', 'node--view-mode-news-one', 'bolt-menu-item', 'logo', 'header-search-btn', 'is-selected', 'block-views-blockmain-slider-block-main-slider', 'view-header', 'header-search-field', 'js-view-dom-id-4379d92041e19e86958a876aa2180440cf59e22af429dc758257311efa4c396f', 'nav-link', 'view-main-slider', 'view-display-id-block_year', 'header-menu', 'view-tagadelic-terms', 'fa-tag', 'fa-youtube', 'colored-sidebar-block', 'node--view-mode-redactor-choice', 'block-views-blockarticle-block-shortly-main', 'views-element-container', 'front-page-article', 'fa-calendar-alt', 'calendar-day', 'field--type-image', 'redactor-choice', 'block-views', 'main-slider-button--previous', 'col-sm-6', 'upcase-menu-item', 'view-content', 'row', 'menu--menu-footer-right', 'field--name-field-tags', 'fa-rss', 'text-formatted', 'statistics', 'burger', 'article-teaser-img', 'news-one-content', 'view-display-id-block_front_middle', 'header-search-magnifier', 'block-views-blockarticle-block-front-top', 'col-md-6', 'col-6', 'infinity-scroll-pager', 'header-soc', 'field--name-field-image', 'hide-search', 'main-menu', 'menu--menu-footer-left', 'calendar-item', 'node', 'main-slider-button-row', 'news-one-heading', 'article-link', 'slider-token', 'footer-tg', 'view-id-main_slider', 'js-view-dom-id-e956cc5bf91e4ab06c1fb4b821adc027181d9f8114aeb1375677cd428f386ad3', 'p-r', 'path-frontpage', 'view-id-tagadelic_terms', 'block-block-content4ae20777-1d78-4fb6-831b-ae3ca046ff87', 'view-video', 'node__submitted', 'block-views-blockredactor-choice-block-redactor-choice', 'view-display-id-block_main_slider', 'most-popular-link', 'menu--main', 'main-slider', 'front', 'token-tags', 'menu-item', 'pager__items', 'video-slider', 'd-f', 'more-link', 'block-block-contentc8925ad3-a0cf-4998-8621-2eb9e2e45c73', 'header-menu-block', 'main-slider-item', 'level1', 'block-core', 'view-display-id-block_front_bottom', 'page-node-4', 'news-one-feather', 'fa-th-large', 'footer-menus', 'front-video-slider', 'main-page-title', 'article-most-popular', 'hide-header-form', 'node--type-page', 'level6', 'view-display-id-block_front', 'footer-col', 'article-token', 'fa-times', 'calendar-img', 'footer', 'block-page-title-block', 'node__content', 'article-h3', 'field--type-entity-reference', 'un-active', 'footer-row', 'view-display-id-block_all_time', 'node--type-article', 'js-view-dom-id-f5e1da8f433585cd126109239c88f5b409805c816cded26c2aa46b6b466796b6', 'block', 'view-display-id-block_voice_of_donbass', 'w67_6', 'js-view-dom-id-827adce6586bd5200e3046a1b37edb1bfacff1ad80d654e7f1cb1e40770f66d1', 'field--type-text-with-summary', 'calendar-list', 'main-slider-full', 'article-most-popular-h2', 'view-most-popular', 'video-slider-img', 'field--name-body', 'js-view-dom-id-cd65cbf40626f5479de920e1c512c1ad436fd59f0de209f3acff3196e0df08c0', 'block-views-blockvideo-block-front', 'disabled', 'region-footer', 'main-slider-button', 'header-top-menu-item', 'fab', 'block-views-blockarticle-block-kiev-writings', 'news-one-h2', 'level3', 'news-one-link', 'fa-chevron-right', 'field--type-string', 'container', 'view-id-article', 'slider-item', 'view', 'main-slider-button--next', 'js-view-dom-id-d5c321cf9ecfa2eb40f2074617e73d15f2b910903657a1523981af534863dc9f', 'video-slider-buttons', 'view-display-id-block_front_top', 'page', 'field--label-hidden', 'node--view-mode-teaser', 'most-popular-switch', 'header-telegram-icon', 'block-block-contentf227c450-e6f6-4e41-8862-f96adade3b3e', 'w34-30', 'header-search', 'block-views-blockarticle-block-voice-of-donbass', 'header-left', 'slider-bg-text', 'views-field', 'video-token-youtube', 'level5', 'js-view-dom-id-c5ae95f45c27480564d575c3542009032b6b39bd55fdcc24eec8d31be4780581', 'ym-advanced-informer', 'region-messages', 'js-view-dom-id-8826f856bd8cdb8ccdc82552132356caae26fb6a88040845ad40beb2d96dd2b7', 'header-bottom-container', 'header-full', 'col-xs-12', 'block-block-contentac9a087c-c738-41a9-9225-2922d390f58c', 'pager__item--next', 'video-token', 'view-id-most_popular', 'front-page-articles'}",odnarodyna.org
ip,178.208.71.25,
subnet,178.208.71,
whois,"{
  ""domain_name"": ""journal-neo.org"",
  ""registrar"": ""Regional Network Information Center, JSC dba RU-CENTER"",
  ""whois_server"": ""https://www.nic.ru/whois"",
  ""referral_url"": null,
  ""updated_date"": ""2022-06-21 16:44:07"",
  ""creation_date"": ""2013-02-08 07:11:57"",
  ""expiration_date"": ""2023-02-08 07:11:57"",
  ""name_servers"": [
    ""ns2.journal-neo.org"",
    ""ns1.journal-neo.org""
  ],
  ""status"": ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"",
  ""emails"": ""tld-abuse@nic.ru"",
  ""dnssec"": ""unsigned"",
  ""name"": ""REDACTED FOR PRIVACY"",
  ""org"": ""Privacy protection service - whoisproxy.ru"",
  ""address"": ""REDACTED FOR PRIVACY"",
  ""city"": ""REDACTED FOR PRIVACY"",
  ""state"": ""Moscow"",
  ""registrant_postal_code"": ""REDACTED FOR PRIVACY"",
  ""country"": ""RU""
}",journal-neo.org
verification_id,alexaVerifyID|uRwypwvax8FpJReWIs_6zNTWuzk,journal-neo.org
verification_id,yandex-verification|ca35e36c6696f217,journal-neo.org
uuid,aecc7a03-6c9e-445f-808c-88d19889daa2,journal-neo.org
yandex_tag_id,ym(91003632,journal-neo.org
certificate,"-----BEGIN CERTIFICATE-----
MIIGSDCCBTCgAwIBAgIMHVmY7jn4x/FiteS+MA0GCSqGSIb3DQEBCwUAMEwxCzAJ
BgNVBAYTAkJFMRkwFwYDVQQKExBHbG9iYWxTaWduIG52LXNhMSIwIAYDVQQDExlB
bHBoYVNTTCBDQSAtIFNIQTI1NiAtIEcyMB4XDTIyMDkxNzEyMTM0M1oXDTIzMTAx
OTEyMTM0MlowHDEaMBgGA1UEAwwRKi5qb3VybmFsLW5lby5vcmcwggEiMA0GCSqG
SIb3DQEBAQUAA4IBDwAwggEKAoIBAQDQKoeHCesD8vxODrYPZ49AkmsJw44rARi0
i+PpIiWuYHmjNmnDjDA/NiSup4Orqg5b/0UitPWwGuUBjdoOY9BX0gguWsNTkwTL
FCXemG5GgDmpg4nxouLM4kfiuZr7A12UGuJ6PVUCZ0U28iKZOYz6CB+qo/2aSZ3i
U61ewLUZFmgOUhZfkIlSkfm6XdeQ7XEstj8BV6vbTMYo3w/FokcO3Hgw0CUMcety
jqVqGTSODu71/lW+YeNwAeR3k6QEiPViYjWvTrL/QaBH1DTznLfMSV/bBP7J+TEa
yHHxOhoMI2R1rAKVEaazuRMXEV1Pib3hv4qXid5s78vpikivfHL3AgMBAAGjggNY
MIIDVDAOBgNVHQ8BAf8EBAMCBaAwgYoGCCsGAQUFBwEBBH4wfDBDBggrBgEFBQcw
AoY3aHR0cDovL3NlY3VyZS5nbG9iYWxzaWduLmNvbS9jYWNlcnQvZ3NhbHBoYXNo
YTJnMnIxLmNydDA1BggrBgEFBQcwAYYpaHR0cDovL29jc3AyLmdsb2JhbHNpZ24u
Y29tL2dzYWxwaGFzaGEyZzIwVwYDVR0gBFAwTjBCBgorBgEEAaAyAQoKMDQwMgYI
KwYBBQUHAgEWJmh0dHBzOi8vd3d3Lmdsb2JhbHNpZ24uY29tL3JlcG9zaXRvcnkv
MAgGBmeBDAECATAJBgNVHRMEAjAAMD8GA1UdHwQ4MDYwNKAyoDCGLmh0dHA6Ly9j
cmwuZ2xvYmFsc2lnbi5jb20vZ3MvZ3NhbHBoYXNoYTJnMi5jcmwwLQYDVR0RBCYw
JIIRKi5qb3VybmFsLW5lby5vcmeCD2pvdXJuYWwtbmVvLm9yZzAdBgNVHSUEFjAU
BggrBgEFBQcDAQYIKwYBBQUHAwIwHwYDVR0jBBgwFoAU9c3VPAhQ+WpPOreX2laD
5mnSaPcwHQYDVR0OBBYEFG1yAeRLOpxrgtxeV8DR24EzGtQKMIIBgAYKKwYBBAHW
eQIEAgSCAXAEggFsAWoAdgDoPtDaPvUGNTLnVyi8iWvJA9PL0RFr7Otp4Xd9bQa9
bgAAAYNLXnPjAAAEAwBHMEUCIQCoh1lG5EHseOGFeAbkk+Er6GtpQduH/aTkPRZn
WxljKwIgKhlm2r+34br6mt9HGdIHOcVOGDxOArzNPfBcAolS5jgAdwBvU3asMfAx
GdiZAKRRFf93FRwR2QLBACkGjbIImjfZEwAAAYNLXnPnAAAEAwBIMEYCIQCom2u2
knuHnfW1cO85cTkPuq7hOMdYwJv0KB2lO8AdrAIhAMbRiCEL6wLTA0PZisJEv9e8
wHJQsu4i/A2XnSsOL7M1AHcAejKMVNi3LbYg6jjgUh7phBZwMhOFTTvSK8E6V6NS
61IAAAGDS150IgAABAMASDBGAiEAgsi3MXLQD9m35Aei+e4LkydIlRaS+7CQJL2P
ahgUCbUCIQDZmrRHPSiUJb94RnS2oKkVG45Z32CPEarLBqtvXGIRWjANBgkqhkiG
9w0BAQsFAAOCAQEAmLl0bjC4n+U5OGrI746FPxRxJz0GY/NAhPTMR9DZvllJ+g+C
7S/TCHAe07tXQpBIrJ5ZCbuQsEkXu+9oYm5Wa68ll/xYZxcTO+/60e/VOcG7k2Nv
+xuQhR4hPLLeEiSg5Op2NqgvWQ55tj6DzPV2LKJ0X/13UFUJre8p/yY2x0bHXEn1
HyxoQCev8D5Zp33Wq6hXkMzBuM286ZfHwPXZ1cMK9CL93IJLvhyEqtxD5qcskHDg
43NJNcIFW7lr7xnDun7yzuylW5anRFUhrIaX5Uycmjb421SGPX/0b3SNX9VsNCEt
Nj551ZxPK/Zi6krQVJ78C7iaWGfStVF0SxOs3Q==
-----END CERTIFICATE-----
",journal-neo.org
cert-domain,*.journal-neo.org,journal-neo.org
cert-domain, journal-neo.org,journal-neo.org
cdn-domain,mc.yandex.ru,journal-neo.org
cdn-domain,,journal-neo.org
cdn-domain,journal-neo.org,journal-neo.org
cdn-domain,certify.alexametrics.com,journal-neo.org
cdn-domain,d5nxst8fruw4z.cloudfront.net,journal-neo.org
domain_suffix,journal-neo.org,journal-neo.org
domain,journal-neo,journal-neo.org
css-class,"{'menu-item-767', 'wpp-author', 'widget_semup_video_links', 'textwidget', 'authors-menu-2', 'menu-item-5883', 'wpp_featured', 'blog', 'blue-title', 'menu-item-83811', 'no-zindex-override', 'menu-item-185825', 'menu-header-menu-container', 'main-block', 'footer-red-link', 'counter', 'f-email-phone', 'menu-item-5865', 'menu-item-5873', 'menu-item-44', 'menu-item-83809', 'slide', 'active', 'icon-gab_text_ico', 'menu-item-1097', 'menu-item-185826', 'menu-item-23', 'rr-post', 'ps-slide', 'menu-item-150376', 'clear', 'image-wrapper', 'icon-ok-round', 'title-in', 'tt-favorite', 'widget_sp_image', 'menu-item-321', 'f-copyright', 'rotator', 'title', 'fav-post', 'title-wrap', 'menu-item-5872', 'popular-slider', 'menu-item-5870', 'attachment-thumbnail-rotator', 'really_simple_image_widget', 'dts-link', 'widget_wrapper', 'menu-item-5884', 'hide', 'menu-item-object-page', 'rotator-block', 'Last10Digests', 'menu-item-5879', 'widget', 'digest-block', 'icon-vk', 'rr-thumbnail', 'top-block', 'mb-categories-vertical', 'menu', 'link-mobile-version', 'print-only', 'menu-item-764', 'menu-item-5866', 'mb-region-path', 'popular-posts', 'widget_text_icl', 'menu-item-311', 'rm-link-today', 'home', 'logo', 'gab-logo', 'rm-link', 'rr-post-author', 'mb-category', 'rm-hr', 'top-text', 'top-menu-authors', 'menu-item-24', 'mb-post-content', 'menu-item-5', 'header-black-line', 'fw-title', 'mb-post-date', 'sub-menu', 'mb-post-link', 'rm-link-active', 's-partners', 'menu-item-310', 'bottom', 'menu-item-5867', 'menu-item-109', 'tt-language', 'menu-item-5868', 'menu-item-29', 'rm-block-menu', 'attachment-full', 'icons', 'goto', 'sub-menu-level-1', 'mb-post-author', 'menu-item-5862', 'society-en', 'h-social-icons', 'menu-item-42', 'right-block', 'tt-links', 'f-counters', 'dijest-wrapper', 'politics-en', 'to-full-website', 'menu-item', 'menu-item-5863', 'subscribeFormBox', 'f-address', 'footer-left', 'rm-link-today-text', 'authors-menu', 'attachment-thumbnail-featured', 'mb-top-part', 'fav-posts', 'widget_sp_image-image-link', 'menu-item-type-post_type', 'wpp_cached_thumb', 'footer-right', 'rotator-menu', 'economics-en', 'top', 'widget_text', 'menu-item-5882', 'menu-item-43', 'menu-item-766', 'no-js', 'menu-item-5864', 'menu-item-5869', 'mb-cat-link', 'rsiw-image', 'partner_images_links', 'wpp-thumbnail', 'menu-item-315', 'menu-item-has-children', 'print-hide', 'icon-hart', 'gif-block', 'reveal-modal', 'flex', 'menu-item-83813', 'menu-item-30', 'full-version', 'footer-right-2', 'ok-logo', 'top-nav', 'wp-post-image', 'menu-item-5874', 'menu-item-object-category', 'mb-cat-posts', 'vkontakte', 'socials', 'mb-post', 'menu-item-349', 'menu-item-83812', 'head', 'menu-item-5881', 'menu-item-type-taxonomy', 'menu-item-5880', 'widget-title', 'attachment-medium', 'container', 'cycle-slideshow', 'fp-link', 'close-reveal-modal', 'fp-thumbnail', 'attachment-thumbnail-rotator_250_210', 'mb-thumbnail', 'menu-item-5885', 'menu-item-320', 'mb-post-head', 'menu-item-26', 'menu-item-185759', 'menu-item-83810', 'menu-item-150379', 'menu-item-80', 'menu-item-1094', 'footer', 'site-body', 'menu-item-1093'}",journal-neo.org
ip,185.71.67.49,
subnet,185.71.67,
whois,"{
  ""domain_name"": [
    ""news-front.info"",
    ""NEWS-FRONT.INFO""
  ],
  ""registrar"": ""Registrar of domain names REG.RU LLC"",
  ""whois_server"": ""whois.reg.com"",
  ""referral_url"": null,
  ""updated_date"": ""2022-11-08 11:46:21"",
  ""creation_date"": ""2014-11-25 09:32:31"",
  ""expiration_date"": ""2023-11-25 09:32:31"",
  ""name_servers"": [
    ""ns1.reg.ru"",
    ""ns2.reg.ru""
  ],
  ""status"": [
    ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"",
    ""clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited""
  ],
  ""emails"": [
    ""abuse@reg.ru"",
    ""NEWS-FRONT.INFO@regprivate.ru""
  ],
  ""name"": [
    ""REDACTED FOR PRIVACY"",
    ""Protection of Private Person""
  ],
  ""org"": ""Privacy Protection"",
  ""address"": [
    ""REDACTED FOR PRIVACY"",
    ""PO box 87, REG.RU Protection Service""
  ],
  ""city"": [
    ""REDACTED FOR PRIVACY"",
    ""Moscow""
  ],
  ""state"": null,
  ""registrant_postal_code"": [
    ""REDACTED FOR PRIVACY"",
    ""123007""
  ],
  ""country"": ""RU""
}",news-front.info
verification_id,yandex-verification|74c25ce8a116f1fe,news-front.info
verification_id,google-site-verification|yjHbnzlPT6kyib1wN1ikD1NQ0f1fJOMs3obcw-th-sY,news-front.info
meta_social,twitter:site|@News_Front_info,news-front.info
uuid,803da3d7-6afe-4791-89cd-adbd325a2f9e,news-front.info
uuid,7c4f5f52-0884-4c02-b43a-0dbb668dcd1c,news-front.info
uuid,eac13167-d570-433f-9606-47f660fcbd0d,news-front.info
uuid,5e186db0-dcb5-4b2b-ac3a-170c37187716,news-front.info
uuid,84ad06bb-562a-4f45-a5f2-86a56cd9996a,news-front.info
uuid,f016a20d-de25-4dfa-a6c2-c5397c1fbe24,news-front.info
uuid,55845f57-49df-46e7-99fc-50d445f5df1f,news-front.info
uuid,5f6f2b12-9cff-4678-a5f6-7a6526b0b70b,news-front.info
uuid,75c6f096-776e-473b-a0d0-0e508f93f790,news-front.info
uuid,19ecd822-63e6-49f6-be09-8d320a2aa788,news-front.info
uuid,332268e5-f9e6-4e6a-b4d7-3c13a754179e,news-front.info
crypto-wallet,14f8970082921712907c3259adf803f9,news-front.info
crypto-wallet,39ecd0045d6648f229ded70a2b9f9bc9,news-front.info
crypto-wallet,qYBreIfZWFGAF4h9MXbjdNnPVswEox,news-front.info
ga_id,UA-99990201,news-front.info
yandex_tag_id,ym(60668698,news-front.info
yandex_tag_id,ym(39993680,news-front.info
certificate,"-----BEGIN CERTIFICATE-----
MIIFIjCCBAqgAwIBAgISBGbF6Tm6x5e+ifHB7DGxUYjIMA0GCSqGSIb3DQEBCwUA
MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD
EwJSMzAeFw0yMzAxMDkxODAwNDhaFw0yMzA0MDkxODAwNDdaMBoxGDAWBgNVBAMT
D25ld3MtZnJvbnQuaW5mbzCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEB
AK6tJ30wVRbg2+wIIuBsSz1suhxVUTRg3Bc9HtfLHOOp5MONCTrtzvFd73BXxI2u
Y8iZalQNRiQ3bkKkK0NqId23DKUbf/KrFpNDLMGAJwRek13mb94nZ25S+//DnHhg
7H2tnsNFR927RiM+SPsrlCwxmLx31dN9i/i4dnXBnfOR4PuHZONqrPSxVrNkgU5y
acxA6G/MJft9kOPKknM2gRgq4drarUpQM0Yj77wvW9B8Tw7HZAz8dzkGsUSz8Hjr
MyjRx4SjJKmcoxM3szFRH5wruo5gkoUpQ/ZUAY5JkIhNmfDHdapUeudutisavNFA
1zw6hW/BSkhbj038jXgyhEcCAwEAAaOCAkgwggJEMA4GA1UdDwEB/wQEAwIFoDAd
BgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNV
HQ4EFgQU3qW1zJN0c3s2OUu0tKaRBXMGq/4wHwYDVR0jBBgwFoAUFC6zF7dYVsuu
UAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8v
cjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9y
Zy8wGgYDVR0RBBMwEYIPbmV3cy1mcm9udC5pbmZvMEwGA1UdIARFMEMwCAYGZ4EM
AQIBMDcGCysGAQQBgt8TAQEBMCgwJgYIKwYBBQUHAgEWGmh0dHA6Ly9jcHMubGV0
c2VuY3J5cHQub3JnMIIBAgYKKwYBBAHWeQIEAgSB8wSB8ADuAHUAtz77JN+cTbp1
8jnFulj0bF38Qs96nzXEnh0JgSXttJkAAAGFl+gYSAAABAMARjBEAiBrrL1b93bW
xyzkV8Sztf0LEdPppG7BlF/ZJ9UNjw78rQIgaZt9zAlYW9J9L7J8AatTkiR4Sb6J
dLaDA/oFZLwnpz0AdQB6MoxU2LcttiDqOOBSHumEFnAyE4VNO9IrwTpXo1LrUgAA
AYWX6BhPAAAEAwBGMEQCIBDTWatZiS1gXXlpceJ4HvlsHONbD+moSFBPXXY3D3Vf
AiA6/i84qSrhQRzi8RZidP1ueMvA0RkGSECJI1lSF55B3jANBgkqhkiG9w0BAQsF
AAOCAQEAXpRU77UruInQQFu+fsMSwzGDVZFoPa212jblLityFXGewFpUi7WlfzpF
++zVyKRKKAclRFKbwFImvqxbMe+Zo06luzkfl+oSsRceWZqPWAM+lGhwEFyC+9S0
GoEm7WfJl290pB6QYwiMtu5diQDfXSMij/HhAdVSMAQlyoJZRE73QxRPGhET0n3F
MHfrmclCgHIJmjdwrvohQaw008M0tzx/6o7/QnbkwM5zSYXGtEuLzv374GcSJLX5
L7W2KPnrWf0O8/4afqxeEGxGIeqA6nb3luLfnAoiOMYXQGd2JgBWRYSXLJ6Zpcok
mTLtZMXlCmUBQTmqibF1gGFReUrHDQ==
-----END CERTIFICATE-----
",news-front.info
cert-domain,news-front.info,news-front.info
cdn-domain,cdn.news-front.info,news-front.info
cdn-domain,mc.yandex.ru,news-front.info
cdn-domain,,news-front.info
cdn-domain,top-fwz1.mail.ru,news-front.info
domain_suffix,news-front.info,news-front.info
domain,news-front,news-front.info
css-class,"{'article-link-2-col', 'header-social', 'tag', 'textwidget', 'menu-item-81', 'menu-item-645288', 'article-link__title', 'video-list__item', 'swiper-video', 'date-style__separator', 'hide_pc', 'no-sidebar', 'header__middle', 'footer__top', 'checkbox-ios__value', 'blog', 'footer__middle', 'footer-terms-mobile', 'btn-menu-list', 'mainmbtn', 'swiper-4article', 'video-list__item-title', 'left', 'menu-item-629327', 'footer__text', 'checkbox-ios__toggle', 'header-search--mobile', 'form_wrapper', 'active', 'menu-vypadayushhee-menyu-1-container', 'sidebar', 'main-head-margin', 'icon', 'main-head__icon', 'img-full', 'hidden', 'header-menu__social-item', 'btn-read-all', 'icon--w20', 'actual-news-btn', 'header__bottom', 'menu-item-629334', 'sidebar-news__inner', 'mobile-language', 'front-tv', 'menu-item-645293', 'header-menu__separator', 'btn-header-menu--inner', 'sidebar-news-block', 'top-news__main', 'footer__middle-inner', 'menu-vypadayushhee-menyu-3-container', 'header', 'arrow-circle-icon--arrow', 'video-yt-icon', 'tag--red', 'main-head--mb15', 'perspective', 'menu-item-595269', 'arrow-circle-icon', 'date-style--s12', 'btn-load-more', 'sidebar--mostread', 'footer-social__title', 'news-row__bottom', 'actual-news-head', 'menu-item-object-page', 'menu-item-595245', 'menu-item-595243', 'hfeed', 'tv_toggle', 'menu-item-629329', 'footer__top-inner', 'mobile-order-5', 'top-news', 'top-news__left', 'no-lazzy', 'btn-8d', 'header__middle-inner', 'menu', 'news-row__content', 'date-style--separator', 'actual-news--order', 'top-news--only-video', 'sidebar-news-block__inner', 'mobile-order-4', 'video-list__img', 'home', 'news-row', 'header-logo', 'menu-item-713757', 'header-nav', 'header__top-inner', 'video-list', 'header-menu', 'article-mostread--order', 'btn', 'header-search__input', 'menu-item-629326', 'show-header-menu', 'language', 'sidebar-news__row', 'footer-logo__text', 'arrow-circle', 'articles-list', 'table-list', 'footer-logo', 'menu-item-645292', 'top-news--order', 'header-menu__inner', 'menu-item-629332', 'article-link__img', 'footer-subscribe__btn', 'header-menu__social-title', 'articles', 'checkbox-ios--blue', 'main-content', 'menu-item-645291', 'btn-read', 'article-mostread', 'menu-item-629331', 'sidebar--f-l', 'menu-item-598660', 'header-menu__nav-title', 'actual-news-btns', 'article-link', 'footer__bottom', 'mobile-arrow', 'video-yt-icon--big', 'btn-8b', 'swiper-container', 'header__top', 'menu-vypadayushhee-menyu-2-container', 'header-search__btn', 'checkbox-ios__label', 'arrow-circle-iconcircle', 'sidebar-news-block--h1835', 'menu-item', 'news-row__icon', 'article-link__row', 'footer-nav__title', 'footer__top-text', 'header-menu-block', 'btn-8a', 'show-search-field', 'header-menu__social', 'yoast-schema-graph', 'articles-list--mb10', 'menu-item-type-post_type', 'tag--darkdark', 'menu-item-598661', 'btn-center', 'footer-social', 'btn-8', 'menu-item-595270', 'video-list__all', 'checkbox-ios', 'bottom-nav', 'date-style--dark', 'articles-list--mobile-line', 'menu-item-629328', 'menu-item-595271', 'top-news__right', 'footer-subscribe__input', 'menu-item-629333', 'header-menu__nav', 'sidebar-news', 'date-style', 'wp-post-image', 'swiper-pagination', 'swiper-slide', 'header-menu__item', 'menu-item-object-category', 'footer__title', 'actual-news', 'footer-nav', 'bottom-nav__item', 'footer-social__item', 'tlistmob', 'menu-item-type-taxonomy', 'search-form', 'size-medium', 'attachment-medium', 'menu-item-595244', 'container', 'select', 'swiper-wrapper', 'social-list', 'articles-list--column-2', 'header-search', 'main-head', 'btn-header-menu', 'menu-item-79', 'footer__bottom-inner', 'menu-item-83', 'right', 'btn--center', 'menu-item-645294', 'menu-item-80', 'header-menu__nav--2column', 'footer', 'footer-subscribe', 'menu-item-645289'}",news-front.info
ip,185.253.34.142,
subnet,185.253.34,
